name,url,language,included,pw_detected,pw_confidence,has_workflows,workflow_files,mentions_test,default_branch,latest_run_conclusion,verified_passing
0x100/cucumber-auto-tests,https://github.com/0x100/cucumber-auto-tests,java,False,False,,False,,False,,,
10ravikumar/serenity-cucumber,https://github.com/10ravikumar/serenity-cucumber,java,False,False,,False,,False,,,
1992Prince/Cucumber-TS,https://github.com/1992Prince/Cucumber-TS,nodejs,False,False,,False,,False,,,
70RR3S/playwright-cucumber-api-e2e-tests,https://github.com/70RR3S/playwright-cucumber-api-e2e-tests,nodejs,False,True,STRONG,False,,False,,,
7ep/demo,https://github.com/7ep/demo,java,False,False,,False,,False,,,
ARAVINDMS444/web-automation-playwright-cucumber-typescript,https://github.com/ARAVINDMS444/web-automation-playwright-cucumber-typescript,nodejs,True,True,STRONG,True,playwright.yml,True,main,success,True
AZANIR/Playwright_Cucumber_Allure,https://github.com/AZANIR/Playwright_Cucumber_Allure,nodejs,False,True,STRONG,True,test.yml,True,master,,False
AZANIR/cypress-cucumber,https://github.com/AZANIR/cypress-cucumber,nodejs,False,False,,True,cypress-cucumber.yml,True,,,
Abdujilil/ZeroBank,https://github.com/Abdujilil/ZeroBank,java,False,False,,True,regression_test.yaml;smoke_test.yaml,True,,,
AbrahamPractice/playwright-cucumber,https://github.com/AbrahamPractice/playwright-cucumber,nodejs,False,True,STRONG,False,,False,,,
Accenture/bdd-for-all,https://github.com/Accenture/bdd-for-all,java,False,False,,True,maven.yml,False,,,
Adarsh2692/playwright-cucumber,https://github.com/Adarsh2692/playwright-cucumber,nodejs,False,True,STRONG,True,test.yml,True,master,,False
AdnanVanni/Playwrightcucumber,https://github.com/AdnanVanni/Playwrightcucumber,nodejs,False,True,STRONG,False,,False,,,
AdrienZianne/calculator-cucumber-2025,https://github.com/AdrienZianne/calculator-cucumber-2025,java,False,False,,False,,False,,,
AlexGalichenko/cucumber-e2e-boilerplate,https://github.com/AlexGalichenko/cucumber-e2e-boilerplate,nodejs,False,False,,False,,False,,,
AlexRiaboshapka/playwright-ts-cucumber,https://github.com/AlexRiaboshapka/playwright-ts-cucumber,nodejs,False,True,STRONG,True,test.yml,True,master,,False
AlgorBerunDev/cucumber-playwright,https://github.com/AlgorBerunDev/cucumber-playwright,nodejs,False,True,STRONG,True,test.yml,True,main,,False
AndreyMelnichenko/cy-ts-cucumber,https://github.com/AndreyMelnichenko/cy-ts-cucumber,nodejs,False,False,,True,build.yaml,True,,,
AndriiFrolov/playwright-cucumber,https://github.com/AndriiFrolov/playwright-cucumber,nodejs,False,True,STRONG,False,,False,,,
AndyLPK247/cucumber-jvm-java-example,https://github.com/AndyLPK247/cucumber-jvm-java-example,java,False,False,,False,,False,,,
AndyLPK247/cucumber-jvm-java8-example,https://github.com/AndyLPK247/cucumber-jvm-java8-example,java,False,False,,False,,False,,,
AnubhavQA/CucumberExample,https://github.com/AnubhavQA/CucumberExample,java,False,False,,False,,False,,,
AppiumTestDistribution/AppiumTestDistribution,https://github.com/AppiumTestDistribution/AppiumTestDistribution,java,False,False,,False,,False,,,
