name,meets_criteria,reason,group,stars,forks,open_issues,language,archived,feature_file_count,scenario_count
cucumber/cucumber-js,Yes,Cucumber's own repo and its test suite is written by gherkin,nodejs,5381,1115,37,TypeScript,FALSE,74,74
cucumber/cucumber-jvm,Yes,Same as 1st,java,2830,2012,54,Java,FALSE,82,82
AppiumTestDistribution/AppiumTestDistribution,No,"Real active tool, but its only 3 features are dummy samples",java,1040,366,45,Java,FALSE,3,3
cucumber/cucumber-java-skeleton,No," template, not a real project",java,499,642,3,Java,FALSE,2,2
marcoturi/fastify-boilerplate,Yes,"Active architecture template, but BDD is incidental not showcased: cucumber-js API scenarios for its user module, run in CI",nodejs,460,53,5,TypeScript,FALSE,2,2
Tallyb/cucumber-playwright,No,Starter repo for learning Cucumber+Playwright,nodejs,437,110,19,TypeScript,FALSE,2,2
apickli/apickli,Yes,"still maintained, features genuinely test its own step DSL",nodejs,213,93,31,JavaScript,FALSE,4,4
gauravkarvir/cucumber_testng_java,No,template,java,212,171,0,Java,FALSE,6,6
cucumber/cucumber-eclipse,No,"Active plugin, but the .feature files are bundled example projects, not the plugin's tests",java,203,150,27,Java,FALSE,6,6
serenity-bdd/serenity-cucumber-starter,No,template,java,202,311,98,Java,FALSE,1,1
protractor-cucumber-framework/protractor-cucumber-framework,Yes,maintained; features are its own integration tests,nodejs,198,133,5,JavaScript,FALSE,5,5
naveenanimation20/CucumberSeleniumFramework,No,Course/tutorial framework repo,java,139,447,10,Java,FALSE,14,14
timjroberts/cucumber-js-tsflow,Yes,"Published cucumber-tsflow library, features are genuine acceptance specs of the binding layer",nodejs,137,36,8,TypeScript,FALSE,7,7
sebaslogen/CleanGUITestArchitecture,Yes,"Sample Android GUI-test architecture demo, though it has only one feature",java,137,31,9,Java,FALSE,1,1
temyers/cucumber-jvm-parallel-plugin,No,Archived and deprecated,java,130,117,1,Java,TRUE,92,92
rmpestano/cukedoctor,Yes,Real living-documentation tool (Cukedoctor) whose Gherkin tests its own funcions,java,130,23,33,Java,FALSE,23,23
ortoniKC/Playwright_Cucumber_TS,No,starter repo for learning Cucumber+Playwright,nodejs,126,77,8,TypeScript,FALSE,3,3
trivago/cucable-plugin,No,synthetic features,java,121,42,2,Java,FALSE,12,12
machzqcq/CucumberJVMExamples,No,template,java,119,143,32,Java,FALSE,27,27
cucumber/cucumber-electron,No,template,nodejs,118,18,9,JavaScript,TRUE,10,10
naveenanimation20/LatestCucumber6WithPOM,No,YouTube-course demo framework,java,112,341,11,Java,FALSE,4,4
ctco/cukes,Yes,"active library, Gherkin tests its own step DSL",java,111,67,46,Java,FALSE,26,26
mechero/spring-boot-cucumber,No,Blog-post sample project,java,109,60,3,Java,FALSE,2,2
emmasuzuki/CucumberEspressoDemo,No,Demo app,java,108,33,1,Java,FALSE,2,2
znsio/teswiz,Yes,Actively developed company OSS automation framework; features are its own e2e regression suite,java,104,63,36,Java,FALSE,28,28
marcoturi/react-redux-boilerplate,Yes,feature has a single e2e test ,nodejs,103,16,9,TypeScript,FALSE,2,2
TestLeafInc/TestLeafSeleniumTraining,No,starter repo for selenium,java,102,58,0,Java,FALSE,3,3
angiejones/restassured-with-cucumber-demo,No,Tutorial demo,java,81,85,1,Java,FALSE,1,1
serenity-bdd/serenity-cucumber,Yes,package that has genuine feature files,java,80,73,70,Java,TRUE,71,71
jomarnavarro/pepinazo,No,starter,java,72,84,1,Java,FALSE,2,2
amiya-pattnaik/selenium-cucumber-java,No,Collection of sample projects demonstrating a BDD framework,java,67,80,2,Java,FALSE,1,1
wenqiglantz/customer-service,No,Blog-demo,java,64,26,11,Java,FALSE,1,1
RoRoche/AndroidTestingBox,No,"Personal experiment box for Android testing tools, stale",java,63,3,2,Java,FALSE,2,2
anhtester/AutomationFrameworkCucumberTestNG,No,"Training-channel automation framework for cucumber, no feature file tests its functionalitty",java,62,56,2,Java,FALSE,3,3
NoraUi/NoraUi,Yes,Real UI non-regression product (NoraUi) with its own Gherkin integration suite,java,60,27,9,Java,FALSE,4,4
rajatt95/MasterSeleniumFramework_BDD,No,Udemy-course practice framework,java,57,35,0,Java,FALSE,2,2
shankybnl/selenium_BDD_framework,No,"Personal demo framework, stale",java,56,50,2,Java,FALSE,2,2
7ep/demo,Yes,"Coveros demonstration app, has genuine feature files",java,53,138,23,Java,FALSE,14,14
Accenture/bdd-for-all,Yes,Real Accenture OSS library ,java,53,24,7,Java,FALSE,12,12
hdorgeval/cucumber7-ts-starter,No,Starter template,nodejs,50,21,3,TypeScript,FALSE,1,1
