name,url,commit_sha,language,playwright_present,pw_evidence,workflow_files,latest_run_branch,latest_run_conclusion,latest_run_workflow,latest_run_url
ahmadmg/cucumberjs-playwright,https://github.com/ahmadmg/cucumberjs-playwright,8121070c218df5371bd0ae4a5642ce21a32325c8,nodejs,yes,package.json declares a Playwright package | package.json declares a Cucumber package | playwright.config.ts present | support/hooks.ts imports Playwright in a step/support file,test.yml,main,success,CI,https://github.com/ahmadmg/cucumberjs-playwright/actions/runs/26783536914
ARAVINDMS444/web-automation-playwright-cucumber-typescript,https://github.com/ARAVINDMS444/web-automation-playwright-cucumber-typescript,10b2cc3eba4d982eae7b4afe0c51d9beecf3e9c8,nodejs,yes,package.json declares a Playwright package | package.json declares a Cucumber package | playwright.config.ts present | tests/step-definitions/sortingFunctionality.ts imports Playwright in a step/support file,playwright.yml,main,success,Playwright Cucumber Tests,https://github.com/ARAVINDMS444/web-automation-playwright-cucumber-typescript/actions/runs/18405284505
automationExamples/Playwright-Cucumber-Exercise,https://github.com/automationExamples/Playwright-Cucumber-Exercise,b56632355d3c2f05b537ee3e048c6da914729c5f,nodejs,yes,package.json declares a Playwright package | package.json declares a Cucumber package | playwright.config.ts present,dispatch-to-grader.yml,pranjal-playwright-assessment,success,Dispatch to Grader,https://github.com/automationExamples/Playwright-Cucumber-Exercise/actions/runs/28024228760
BrowserStackCE/playwright-cucumber-browserstack,https://github.com/BrowserStackCE/playwright-cucumber-browserstack,70992d43fabe41df25d40941bfe8f8b103e11242,nodejs,yes,package.json declares a Playwright package | package.json declares a Cucumber package | setup/hooks.js imports Playwright in a step/support file,Semgrep.yml,main,success,Semgrep,https://github.com/BrowserStackCE/playwright-cucumber-browserstack/actions/runs/28735467852
chonglee30/Playwright-Cucumber,https://github.com/chonglee30/Playwright-Cucumber,2a80668de747c3f435dc37d6d01db5933dd9deaa,nodejs,yes,package.json declares a Playwright package | package.json declares a Cucumber package | playwright.config.ts present | src/tests/step-definitions/login.ts imports Playwright in a step/support file,playwright.yml,main,success,Playwright Tests,https://github.com/chonglee30/Playwright-Cucumber/actions/runs/16580147534
dntthuan064/playwright-bdd-project,https://github.com/dntthuan064/playwright-bdd-project,8fd75353fa0cfaf0c508b791361541e4af29db70,nodejs,yes,"package.json declares ""playwright-bdd"" | package.json declares a Cucumber package | playwright.config.ts present | src/common/fixtures.ts imports Playwright in a step/support file",playwright.yml;slack-notify-2.yml;slack-notify.yml,chore/add-pull-request-template,success,Playwright Tests,https://github.com/dntthuan064/playwright-bdd-project/actions/runs/18881564760
eyupUK/playwright-cucumber-nft,https://github.com/eyupUK/playwright-cucumber-nft,59faf144a8dbe7ecf84895df88dca3ea011cd40f,nodejs,yes,package.json declares a Playwright package | package.json declares a Cucumber package | src/hooks/hooks.ts imports Playwright in a step/support file,k6-grafana.yml;playwright.yml,main,success,k6 Performance Testing,https://github.com/eyupUK/playwright-cucumber-nft/actions/runs/18393234069
FrankSantillan/ADT-Take-Home,https://github.com/FrankSantillan/ADT-Take-Home,28e3c64c02239d34aa80bcaa5127642b62e76e82,nodejs,yes,package.json declares a Playwright package | package.json declares a Cucumber package,automated-tests.yml,main,success,Automated Tests,https://github.com/FrankSantillan/ADT-Take-Home/actions/runs/17699250513
HarshaVardhankema/CucumberPlaywrightTypescript,https://github.com/HarshaVardhankema/CucumberPlaywrightTypescript,7ac127ee6e38ddc9e21628e44d92fc29b92172e2,nodejs,yes,package.json declares a Playwright package | package.json declares a Cucumber package | playwright.config.ts present | src/test/steps/Flipkart.ts imports Playwright in a step/support file,playwright.yml,main,success,Playwright Tests,https://github.com/HarshaVardhankema/CucumberPlaywrightTypescript/actions/runs/15432354462
ishansaini/playwright-dummy,https://github.com/ishansaini/playwright-dummy,a806319ee9804ecbcbe23bb5e24702ffc64e9397,nodejs,yes,package.json declares a Playwright package | package.json declares a Cucumber package | playwright.config.ts present | tests/step-definitions/simple-counter.steps.ts imports Playwright in a step/support file,playwright.yml,main,success,Playwright Tests,https://github.com/ishansaini/playwright-dummy/actions/runs/18967054755
JakubRumpca/Cucumber-Store,https://github.com/JakubRumpca/Cucumber-Store,75345a92d945b172fe9bb1ef933ee2cc5690c1cc,nodejs,yes,package.json declares a Playwright package | package.json declares a Cucumber package | features/support/hooks.ts imports Playwright in a step/support file,pipeline.yml,main,success,Pipeline - Cucumber Tests,https://github.com/JakubRumpca/Cucumber-Store/actions/runs/19208333175
karthikautomationtester/playwright-cucumber,https://github.com/karthikautomationtester/playwright-cucumber,30f00718c390bd672d41278457420790f74ca4b7,nodejs,yes,package.json declares a Playwright package | package.json declares a Cucumber package,ci.yml,main,success,CI,https://github.com/karthikautomationtester/playwright-cucumber/actions/runs/16919041208
marcoturi/react-redux-boilerplate,https://github.com/marcoturi/react-redux-boilerplate,c0bf7ad612e5f34b44edd550c73c7c0a887cfbc6,nodejs,yes,package.json declares a Playwright package | package.json declares a Cucumber package | e2e/support/custom-world.ts imports Playwright in a step/support file,codeql-analysis.yml;release.yml,renovate/pnpm-11.x,success,CodeQL,https://github.com/marcoturi/react-redux-boilerplate/actions/runs/26658157842
ParthibanRajasekaran/playwright-cucumber,https://github.com/ParthibanRajasekaran/playwright-cucumber,73791e2a0c9b40780edf30cd5b828e50dcdf74db,nodejs,yes,package.json declares a Playwright package | package.json declares a Cucumber package | playwright.config.ts present | features/step-definitions/auth-steps.ts imports Playwright in a step/support file,playwright-cucumber.yml,main,success,"npm_and_yarn in /. for flatted, follow-redirects, glob, js-yaml, lodash, lodash, lodash, minimatch, minimatch, minimatch, picomatch, qs, qs - Update #1324646742",https://github.com/ParthibanRajasekaran/playwright-cucumber/actions/runs/24476241980
paul-chiggy/demo-e2e-testing-with-playwright-cucumber,https://github.com/paul-chiggy/demo-e2e-testing-with-playwright-cucumber,dbc64517901e5768d5e31ab807249d27f5b1ee06,nodejs,yes,package.json declares a Playwright package | package.json declares a Cucumber package | playwright.config.ts present | support/asserter.ts imports Playwright in a step/support file,playwright.yml,main,success,Playwright Tests,https://github.com/paul-chiggy/demo-e2e-testing-with-playwright-cucumber/actions/runs/16648942782
qaPaschalE/playwright-cucumber-ts-steps,https://github.com/qaPaschalE/playwright-cucumber-ts-steps,2e0c0da42e51fa4388f0d783bc8cab393bb83112,nodejs,yes,package.json declares a Playwright package | src/component/runner.ts imports Playwright in a step/support file,build.yml;doc.yml;release-please.yml,gh-pages,success,pages build and deployment,https://github.com/qaPaschalE/playwright-cucumber-ts-steps/actions/runs/22731937220
RashmiSandamini/Group_18_Cucumber_PW,https://github.com/RashmiSandamini/Group_18_Cucumber_PW,1d9c9f951c66a47211e208ff6df1f67a3ee79239,nodejs,yes,package.json declares a Playwright package | package.json declares a Cucumber package | ui-tests/tests/steps/returnpage.spec.ts imports Playwright in a step/support file,e2etests.yml,gh-pages,success,pages build and deployment,https://github.com/RashmiSandamini/Group_18_Cucumber_PW/actions/runs/16347904720
rogercopy/playwright-cucumber-TS-automation,https://github.com/rogercopy/playwright-cucumber-TS-automation,ee29ee9d9e984a1589fe254a5342ec1e3ec44bd2,nodejs,yes,package.json declares a Playwright package | package.json declares a Cucumber package | src/test/support/custom-world.ts imports Playwright in a step/support file,e2e-test.yml,master,success,Playwright Cucumber Tests,https://github.com/ranganath2602/playwright-cucumber-TS-automation/actions/runs/28661045827
rsksmart/e2e_dapps_automation,https://github.com/rsksmart/e2e_dapps_automation,5ccc62d821884531166b4d28a51eb19605e6df86,nodejs,yes,package.json declares a Playwright package | package.json declares a Cucumber package | src/hooks/fixtures.js imports Playwright in a step/support file,playwright.yml,main,success,Scheduled,https://github.com/rsksmart/e2e_dapps_automation/actions/runs/16091868678
santoshkulkarni1986/playwright-cucumber-typescript-automation-framework,https://github.com/santoshkulkarni1986/playwright-cucumber-typescript-automation-framework,0b26af764c0c3eda22640c82feeb18d79baa9032,nodejs,yes,package.json declares a Playwright package | package.json declares a Cucumber package | src/hooks/hooks.ts imports Playwright in a step/support file,playwright.yml,main,success,Playwright Tests,https://github.com/santoshkulkarni1986/playwright-cucumber-typescript-automation-framework/actions/runs/17005378021
srinivasguda4444-wq/playwright-cucumber,https://github.com/srinivasguda4444-wq/playwright-cucumber,37202192706ee3c3ff852ae210d8b4223068e99d,nodejs,yes,package.json declares a Playwright package | package.json declares a Cucumber package | src/tests/step-definitions/login.ts imports Playwright in a step/support file,playwright.yml,master,success,Playwright Tests,https://github.com/srinivasguda4444-wq/playwright-cucumber/actions/runs/17357656109
Tallyb/cucumber-playwright,https://github.com/Tallyb/cucumber-playwright,e2b38e1200b1882de06ada9f15816bb9ddb04cc4,nodejs,yes,package.json declares a Playwright package | package.json declares a Cucumber package | src/support/custom-world.ts imports Playwright in a step/support file,test.yml,renovate/tsx-4.x,success,Test,https://github.com/Tallyb/cucumber-playwright/actions/runs/28676304761
vaidasian/playwright-cucumberjs,https://github.com/vaidasian/playwright-cucumberjs,cfca95165a0487d99f2ff3d1684985962e4f677d,nodejs,yes,package.json declares a Playwright package | package.json declares a Cucumber package | playwright.config.ts present,e2e-test.yml,main,success,Playwright E2E Tests,https://github.com/vaidasian/playwright-cucumberjs/actions/runs/17211050133
YevShch/Espresso-Addict-Playwright-Cucumber,https://github.com/YevShch/Espresso-Addict-Playwright-Cucumber,24c3160bd0719a66feadf4138d8a6e83caed974e,nodejs,yes,package.json declares a Playwright package | package.json declares a Cucumber package,run-tests.yml,main,success,Node.js CI,https://github.com/YevShch/Espresso-Addict-Playwright-Cucumber/actions/runs/24583391173
zbcjackson/cucumber-ai,https://github.com/zbcjackson/cucumber-ai,741d4294d55f2befe78cab1e34d08d2d2abd081f,nodejs,yes,package.json declares a Playwright package | package.json declares a Cucumber package,ci.yml;release.yml,master,success,"npm_and_yarn in /. for @isaacs/brace-expansion, @langchain/core, @modelcontextprotocol/sdk, @modelcontextprotocol/sdk, ajv, braces, diff, file-type, js-yaml, micromatch, minimatch, minimatch, minimatch, minimatch, minimatch, minimatch, qs, qs, rollup - Update #1274813631",https://github.com/zbcjackson/cucumber-ai/actions/runs/22931011940
Zstefanov/AE-Automation-TS-Playwright,https://github.com/Zstefanov/AE-Automation-TS-Playwright,b74f2d4b44cf013e021ef273a05cfe3d52b68472,nodejs,yes,package.json declares a Playwright package | package.json declares a Cucumber package | playwright.config.ts present | features/support/world.ts imports Playwright in a step/support file,playwright.yml,main,success,Playwright Tests,https://github.com/Zstefanov/AE-Automation-TS-Playwright/actions/runs/16542093477
