name,url,stars,forks,open_issues,language,archived,created_at,pushed_at,description,commit,feature_file_count,pw_confidence,default_branch,latest_run_conclusion,verified_passing
Tallyb/cucumber-playwright,https://github.com/Tallyb/cucumber-playwright,437,110,19,TypeScript,False,2021-02-03T11:48:26Z,2026-07-17T09:03:16Z,,e2b38e1200b1882de06ada9f15816bb9ddb04cc4,2,STRONG,master,success,True
marcoturi/react-redux-boilerplate,https://github.com/marcoturi/react-redux-boilerplate,103,16,9,TypeScript,False,2024-01-16T00:52:27Z,2026-05-29T19:36:38Z,"A meticulously crafted, extensible, and robust architecture for constructing production-grade React 19 applications 🚀",c0bf7ad612e5f34b44edd550c73c7c0a887cfbc6,2,STRONG,main,success,True
qaPaschalE/playwright-cucumber-ts-steps,https://github.com/qaPaschalE/playwright-cucumber-ts-steps,30,1,0,TypeScript,False,2025-06-19T17:16:20Z,2026-03-05T19:28:10Z,,2e0c0da42e51fa4388f0d783bc8cab393bb83112,3,MEDIUM,main,success,True
rsksmart/e2e_dapps_automation,https://github.com/rsksmart/e2e_dapps_automation,9,5,3,JavaScript,False,2023-12-19T07:03:13Z,2024-11-06T15:44:58Z,E2E Browser Automation for web3 dApps using Cucumber+Playwright+Synpress in JavaScript,5ccc62d821884531166b4d28a51eb19605e6df86,1,STRONG,main,success,True
zbcjackson/cucumber-ai,https://github.com/zbcjackson/cucumber-ai,8,0,1,TypeScript,False,2025-07-16T13:55:24Z,2026-01-01T18:24:09Z,Write automated test using natural language,741d4294d55f2befe78cab1e34d08d2d2abd081f,1,MEDIUM,master,success,True
RashmiSandamini/Group_18_Cucumber_PW,https://github.com/RashmiSandamini/Group_18_Cucumber_PW,7,1,0,TypeScript,False,2024-12-16T12:14:45Z,2025-07-17T14:28:36Z,,1d9c9f951c66a47211e208ff6df1f67a3ee79239,17,STRONG,main,success,True
automationExamples/Playwright-Cucumber-Exercise,https://github.com/automationExamples/Playwright-Cucumber-Exercise,3,234,239,TypeScript,False,2023-12-18T20:31:35Z,2025-10-04T20:06:57Z,,b56632355d3c2f05b537ee3e048c6da914729c5f,3,MEDIUM,main,success,True
Zstefanov/AE-Automation-TS-Playwright,https://github.com/Zstefanov/AE-Automation-TS-Playwright,2,0,0,TypeScript,False,2025-06-19T21:13:25Z,2025-07-26T17:14:50Z,PW/TS/Cucumber Automation Project.,b74f2d4b44cf013e021ef273a05cfe3d52b68472,25,STRONG,main,success,True
dntthuan064/playwright-bdd-project,https://github.com/dntthuan064/playwright-bdd-project,2,0,5,TypeScript,False,2025-06-06T11:18:09Z,2025-10-28T16:15:50Z,# Playwright with Cucumber using Playwright-bdd,8fd75353fa0cfaf0c508b791361541e4af29db70,1,STRONG,main,success,True
ARAVINDMS444/web-automation-playwright-cucumber-typescript,https://github.com/ARAVINDMS444/web-automation-playwright-cucumber-typescript,1,0,0,TypeScript,False,2025-07-15T04:42:16Z,2025-08-06T03:57:30Z,,10b2cc3eba4d982eae7b4afe0c51d9beecf3e9c8,3,STRONG,main,success,True
BrowserStackCE/playwright-cucumber-browserstack,https://github.com/BrowserStackCE/playwright-cucumber-browserstack,1,0,7,JavaScript,False,2022-01-25T05:50:51Z,2026-06-19T13:24:53Z,,70992d43fabe41df25d40941bfe8f8b103e11242,2,STRONG,main,success,True
FrankSantillan/ADT-Take-Home,https://github.com/FrankSantillan/ADT-Take-Home,1,0,0,TypeScript,False,2025-07-03T21:39:52Z,2025-07-15T05:31:24Z,"This project demonstrates automated testing using Node.js, Cucumber.js, and TypeScript, following Behavior-Driven Development (BDD) principles.",28e3c64c02239d34aa80bcaa5127642b62e76e82,1,MEDIUM,main,success,True
YevShch/Espresso-Addict-Playwright-Cucumber,https://github.com/YevShch/Espresso-Addict-Playwright-Cucumber,1,0,0,JavaScript,False,2024-10-29T14:00:40Z,2026-04-17T19:39:19Z,"“Black-box” testing of the game ""Espresso addict"" with Playwrigth-Cucumber/BDD",24c3160bd0719a66feadf4138d8a6e83caed974e,13,MEDIUM,main,success,True
eyupUK/playwright-cucumber-nft,https://github.com/eyupUK/playwright-cucumber-nft,1,0,0,TypeScript,False,2025-09-17T16:58:25Z,2026-07-03T22:59:25Z,,59faf144a8dbe7ecf84895df88dca3ea011cd40f,13,STRONG,main,success,True
paul-chiggy/demo-e2e-testing-with-playwright-cucumber,https://github.com/paul-chiggy/demo-e2e-testing-with-playwright-cucumber,1,0,0,TypeScript,False,2025-07-28T10:45:37Z,2025-07-31T12:26:38Z,Demo project for end-to-end testing with Playwright and Cucumber,dbc64517901e5768d5e31ab807249d27f5b1ee06,5,STRONG,main,success,True
rogercopy/playwright-cucumber-TS-automation,https://github.com/rogercopy/playwright-cucumber-TS-automation,1,0,0,TypeScript,False,2025-02-10T11:33:20Z,2026-06-17T13:41:31Z,,ee29ee9d9e984a1589fe254a5342ec1e3ec44bd2,5,STRONG,master,success,True
santoshkulkarni1986/playwright-cucumber-typescript-automation-framework,https://github.com/santoshkulkarni1986/playwright-cucumber-typescript-automation-framework,1,0,0,TypeScript,False,2025-08-06T08:37:43Z,2025-08-16T06:32:41Z,Playwright with Typescript an Cucumber Framework,0b26af764c0c3eda22640c82feeb18d79baa9032,1,STRONG,main,success,True
HarshaVardhankema/CucumberPlaywrightTypescript,https://github.com/HarshaVardhankema/CucumberPlaywrightTypescript,0,0,0,TypeScript,False,2025-06-04T02:39:24Z,2025-06-04T02:45:46Z,,7ac127ee6e38ddc9e21628e44d92fc29b92172e2,3,STRONG,main,success,True
JakubRumpca/Cucumber-Store,https://github.com/JakubRumpca/Cucumber-Store,0,0,0,TypeScript,False,2024-07-04T15:43:56Z,2025-11-09T12:17:48Z,,75345a92d945b172fe9bb1ef933ee2cc5690c1cc,3,STRONG,main,success,True
ParthibanRajasekaran/playwright-cucumber,https://github.com/ParthibanRajasekaran/playwright-cucumber,0,1,1,TypeScript,False,2025-08-07T17:16:43Z,2026-01-23T21:45:23Z,,73791e2a0c9b40780edf30cd5b828e50dcdf74db,1,STRONG,main,success,True
ahmadmg/cucumberjs-playwright,https://github.com/ahmadmg/cucumberjs-playwright,0,0,0,TypeScript,False,2025-05-19T19:03:03Z,2026-06-01T21:36:37Z,"End-to-end testing framework using Cucumber.js, Playwright, and TypeScript. Supports BDD feature files, browser automation, API testing, HTML reporting, and easy CI integration with GitHub Actions and Docker. Ready for scalable, maintainable, and modern web testing workflows.",8121070c218df5371bd0ae4a5642ce21a32325c8,2,STRONG,main,success,True
chonglee30/Playwright-Cucumber,https://github.com/chonglee30/Playwright-Cucumber,0,0,0,TypeScript,False,2025-07-24T17:24:46Z,2025-07-28T20:57:30Z,BDD-Cucumber to write playwright test,2a80668de747c3f435dc37d6d01db5933dd9deaa,1,STRONG,main,success,True
ishansaini/playwright-dummy,https://github.com/ishansaini/playwright-dummy,0,0,0,TypeScript,False,2023-09-22T04:53:32Z,2025-10-31T08:29:46Z,Playwright with Cucumber boilerplate,a806319ee9804ecbcbe23bb5e24702ffc64e9397,1,STRONG,main,success,True
karthikautomationtester/playwright-cucumber,https://github.com/karthikautomationtester/playwright-cucumber,0,0,0,TypeScript,False,2025-08-12T19:27:34Z,2025-08-12T19:37:36Z,,30f00718c390bd672d41278457420790f74ca4b7,1,MEDIUM,main,success,True
srinivasguda4444-wq/playwright-cucumber,https://github.com/srinivasguda4444-wq/playwright-cucumber,0,0,0,TypeScript,False,2025-08-30T15:30:27Z,2025-08-31T13:14:57Z,define the Cucumber BDD scenarios in playwright,37202192706ee3c3ff852ae210d8b4223068e99d,1,STRONG,master,success,True
vaidasian/playwright-cucumberjs,https://github.com/vaidasian/playwright-cucumberjs,0,0,0,TypeScript,False,2025-08-25T13:59:01Z,2025-08-25T13:59:06Z,,cfca95165a0487d99f2ff3d1684985962e4f677d,1,MEDIUM,main,success,True
