name,url,group,stars,forks,open_issues,language,archived,created_at,pushed_at,description,fetch_status,commit,feature_file_count,has_workflows
Tallyb/cucumber-playwright,https://github.com/Tallyb/cucumber-playwright,nodejs,437,110,19,TypeScript,False,2021-02-03T11:48:26Z,2026-07-03T17:57:34Z,,cache,e2b38e1200b1882de06ada9f15816bb9ddb04cc4,2,True
ortoniKC/Playwright_Cucumber_TS,https://github.com/ortoniKC/Playwright_Cucumber_TS,nodejs,126,77,8,TypeScript,False,2023-03-22T08:18:40Z,2024-06-11T04:57:06Z,"Playwright + Cucumber BDD + Typescript, simple & easiest way to learn and implement",cache,480dbfc5dbaafb612f8319507fc80e4af1738778,3,True
marcoturi/react-redux-boilerplate,https://github.com/marcoturi/react-redux-boilerplate,nodejs,103,16,9,TypeScript,False,2024-01-16T00:52:27Z,2026-05-29T19:36:38Z,"A meticulously crafted, extensible, and robust architecture for constructing production-grade React 19 applications 🚀",cache,c0bf7ad612e5f34b44edd550c73c7c0a887cfbc6,2,True
underc0delabs/Autoc0de-Hybrid,https://github.com/underc0delabs/Autoc0de-Hybrid,java,50,5,1,Java,False,2024-07-26T18:25:32Z,2024-07-30T14:13:04Z,"Hybrid framework that allows Frontend and API testing to be carried out, sequentially or parallel, therefore, allowing cross validation. Use Playwright, TestNG, Cucumber and RestAssured",cache,6d6b2172cba85bcb9a8547b801ba1d15acd7f8ac,2,True
akshayp7/playwright-java-cucumber,https://github.com/akshayp7/playwright-java-cucumber,java,46,25,0,Java,False,2023-03-24T04:05:07Z,2023-05-12T06:11:13Z,This is Boilerplate/Template for Playwright with Cucumber Java and JUnit for Assertions with Spark Extent reporting for HTML and PDF,200,f722d271eb159e1845a3c61627d667bcb1a9c292,6,False
VinayKumarBM/playwright-cucumber-sample,https://github.com/VinayKumarBM/playwright-cucumber-sample,nodejs,32,18,1,TypeScript,False,2022-11-08T16:15:41Z,2022-12-18T06:19:37Z,This is a sample test automation framework developed using Playwright with Cucumber,cache,1bee12ab6962fde34e1e63c3592e76bd02df29f9,5,True
serenity-js/serenity-js-cucumber-playwright-template,https://github.com/serenity-js/serenity-js-cucumber-playwright-template,nodejs,32,15,8,TypeScript,False,2022-07-14T07:54:21Z,2026-07-06T03:37:39Z,"Test your web apps with Serenity/JS, Playwright and Cucumber.js",cache,6bf643ce7a70ec20756b3406282ee9f17b5b3ecd,1,True
PrinceSoni83/playwright-cucumber-js-e2e-boilerplate,https://github.com/PrinceSoni83/playwright-cucumber-js-e2e-boilerplate,nodejs,30,17,0,JavaScript,False,2021-01-30T22:26:54Z,2024-03-11T13:23:18Z,"E2E Test Automation Framework with Playwright, Page Objects and Cucumber-JS BDD",cache,12f7ca73d6148d5489c3dfa791d038500cf57b28,2,True
qaPaschalE/playwright-cucumber-ts-steps,https://github.com/qaPaschalE/playwright-cucumber-ts-steps,nodejs,30,1,0,TypeScript,False,2025-06-19T17:16:20Z,2026-03-05T19:28:10Z,,cache,2e0c0da42e51fa4388f0d783bc8cab393bb83112,3,True
adamcegielka/playwright-cucumber-bdd-typescript,https://github.com/adamcegielka/playwright-cucumber-bdd-typescript,nodejs,24,8,5,TypeScript,False,2023-08-24T11:26:00Z,2024-04-13T09:09:23Z,Improving skills in automated testing using Cucumber and BDD.,cache,c00900d4497c2b12ff2cc38790a121dc02485492,2,True
ghoshasish99/Playwright-Java-Cucumber,https://github.com/ghoshasish99/Playwright-Java-Cucumber,java,16,7,0,Java,False,2021-01-21T18:52:50Z,2024-07-03T21:04:54Z,Playwright-Java-Cucumber,cache,bcdb6eda4e9475bde0a6c13119d3ec67bfc271aa,2,True
underc0delabs/Autoc0de-Web-Playwrigth,https://github.com/underc0delabs/Autoc0de-Web-Playwrigth,java,14,3,0,Java,False,2023-05-16T18:30:12Z,2024-04-01T22:36:51Z,"The future of web automation is Playwright, and in this web automation framework we demonstrate it using tools like Cucumber, Extent Report and Java integrating this Microsoft technology.",cache,4ec3b56717b8a3e83676ff1c0984bc7a9113e5f4,1,True
hdorgeval/playwright-fluent-ts-cucumber7-starter,https://github.com/hdorgeval/playwright-fluent-ts-cucumber7-starter,nodejs,9,4,0,TypeScript,False,2021-01-22T16:19:54Z,2021-01-25T13:41:10Z,Starter project for e2e tests with playwright-fluent and cucumber-js,200,4ab184ffa733d21fbe92c98c88c2e0456fe1581d,1,False
rsksmart/e2e_dapps_automation,https://github.com/rsksmart/e2e_dapps_automation,nodejs,9,5,3,JavaScript,False,2023-12-19T07:03:13Z,2024-11-06T15:44:58Z,E2E Browser Automation for web3 dApps using Cucumber+Playwright+Synpress in JavaScript,cache,5ccc62d821884531166b4d28a51eb19605e6df86,1,True
zbcjackson/cucumber-ai,https://github.com/zbcjackson/cucumber-ai,nodejs,8,0,1,TypeScript,False,2025-07-16T13:55:24Z,2026-01-01T18:24:09Z,Write automated test using natural language,cache,741d4294d55f2befe78cab1e34d08d2d2abd081f,1,True
susnigdha1/PlaywrightTestAutomationFramework,https://github.com/susnigdha1/PlaywrightTestAutomationFramework,java,8,6,0,Java,False,2023-07-14T18:14:53Z,2023-08-31T23:01:30Z,"It is a Test Automation framework for Playwright, created using SpringBoot, Cucumber, Junit5 and Java",200,b46e8cd8c2b13aab78fb0b61e86a027d4809c580,3,False
AZANIR/Playwright_Cucumber_Allure,https://github.com/AZANIR/Playwright_Cucumber_Allure,nodejs,7,3,0,TypeScript,False,2023-09-18T08:00:15Z,2023-09-18T09:46:54Z,Playwright with Cucumber and Allure report,cache,fb115920667285a567cc7ecad3bdc4a067cd4e6b,2,True
JoanEsquivel/playwright-cucumber-starter,https://github.com/JoanEsquivel/playwright-cucumber-starter,nodejs,7,7,0,TypeScript,False,2025-02-02T22:05:13Z,2025-02-03T00:37:05Z,Playwright + Cucumber project for teaching how to set it up,cache,4899242edffe82338f2192f2b3068e9a6e4bbaee,1,True
RashmiSandamini/Group_18_Cucumber_PW,https://github.com/RashmiSandamini/Group_18_Cucumber_PW,nodejs,7,1,0,TypeScript,False,2024-12-16T12:14:45Z,2025-07-17T14:28:36Z,,cache,1d9c9f951c66a47211e208ff6df1f67a3ee79239,17,True
raptatinha/blog-playwright-bdd,https://github.com/raptatinha/blog-playwright-bdd,nodejs,7,3,0,TypeScript,False,2023-05-18T02:15:40Z,2023-05-19T02:57:08Z,Playwright and bdd,200,8a6bc06684fbe2ee4c1b637ec1d0f6c49dcecbc9,1,False
javicoin/cucumber-playwright-synpress,https://github.com/javicoin/cucumber-playwright-synpress,nodejs,6,1,0,JavaScript,False,2023-10-18T13:04:30Z,2023-11-14T13:09:13Z,E2E Browser Automation for web3 dApps using Cucumber+Playwright+Synpress in JavaScript,cache,f2a6e311f377200ff64bed20c508bb1b8a0a50aa,1,True
